序号,风格ID,风格名称,文件名,AI生图提示词（英文 - 中国面孔版 + 画布引导）
01,soft-pastel,柔和粉彩,soft-pastel.jpg,"Please generate on this blank canvas: A professional portrait photography in soft pastel style, featuring a peaceful Chinese baby (6-12 months old, East Asian features) sitting on a white fluffy blanket. Soft diffused natural window light from the left creating gentle shadows. Color palette: blush pink, powder blue, cream white, pale lavender. Dreamy ethereal atmosphere with slight glow effect. Background: pure white with subtle gradient. Baby wearing a simple white cotton outfit. Tender sweet mood, gentle composition. Professional photography, high resolution, 4:3 aspect ratio, centered composition."
02,natural-light,自然光影,natural-light.jpg,"Please generate on this blank canvas: A candid lifestyle portrait in natural light photography style. A young Chinese mother (age 28-32, East Asian features, black hair) gently holding her 3-month-old Chinese baby near a large window. Golden hour soft sunlight streaming through sheer curtains creating warm natural highlights. Authentic unposed moment, genuine smile. Color palette: warm beige, soft tan, natural Asian skin tones, cream white. Clean modern Chinese home environment background, slightly blurred. Both wearing casual comfortable clothing in neutral colors. Photojournalistic approach, real emotions, 4:3 aspect ratio, professional photography quality."
03,romantic-soft-focus,浪漫柔焦,romantic-soft-focus.jpg,"Please generate on this blank canvas: A romantic soft focus wedding portrait photography. Young Chinese couple (bride and groom, ages 25-30, East Asian features) in elegant wedding attire, close together with gentle smiles. Beautiful dreamy bokeh effect in background with soft golden and pink light orbs. Soft focus on edges while keeping faces sharp. Color palette: blush pink, champagne gold, ivory white, soft peach. Ethereal romantic atmosphere with hazy glow. Chinese bride in white lace qipao-inspired dress, groom in light gray suit. Gentle diffused lighting from above. Professional Chinese wedding photography, 4:3 aspect ratio, intimate composition."
04,vintage-film,复古胶片,vintage-film.jpg,"Please generate on this blank canvas: A vintage film photography style portrait. Young Chinese graduate student (age 22-25, East Asian features, black hair) in academic gown and cap, holding diploma, standing in front of classic Chinese university building with traditional architecture elements. Film grain texture overlay, slightly faded colors. Warm nostalgic color grading: sepia undertones, muted oranges, warm browns, cream highlights. Subtle vignette effect on edges. Classic 1970s-1980s Chinese film aesthetic. Natural outdoor lighting with soft shadows. Timeless retro feel, analog photography look. Professional quality, 4:3 aspect ratio, centered vertical composition."
05,documentary,纪实风格,documentary.jpg,"Please generate on this blank canvas: A documentary photojournalism style candid portrait. Multi-generational Chinese family moment: elderly Chinese grandfather (age 65-70, East Asian features, gray hair) laughing while playing with his 5-year-old Chinese grandson, both sitting on living room floor. Genuine authentic emotions, unposed natural interaction. Monochromatic color palette with rich contrast: deep blacks, pure whites, nuanced mid-tones. Environmental portrait showing simple Chinese home details in background (tea set, calligraphy). Decisive moment capture, real life storytelling. Professional photojournalistic quality, natural window light from side, 4:3 aspect ratio, rule of thirds composition."
06,classic-portrait,经典人像,classic-portrait.jpg,"Please generate on this blank canvas: A classic formal portrait photography in traditional studio style. Professional Chinese businessman (age 35-40, East Asian features, short black hair) in dark navy suit and tie, confident posture, slight smile. Studio lighting setup: key light from 45 degrees, fill light, hair light creating professional three-point lighting. Solid neutral gray background (18% gray). Color palette: navy blue, crisp white shirt, silver tie, natural Asian skin tones. Timeless elegant composition, sharp focus throughout. Formal corporate professional style, no distractions. High-end studio photography quality, 4:3 aspect ratio, waist-up vertical composition, centered subject."
07,bright-colorful,明亮鲜艳,bright-colorful.jpg,"Please generate on this blank canvas: A bright vibrant colorful portrait photography. Cheerful 4-year-old Chinese child (East Asian features, black hair) jumping with joy, arms raised, big smile showing. Colorful playful environment with rainbow-themed elements. High saturation vibrant colors: primary red, sunshine yellow, sky blue, grass green, magenta pink. Clean white background with colorful confetti or balloons floating. Energetic joyful atmosphere, dynamic composition. Child wearing bright multi-colored casual clothes. Studio lighting with no shadows, flat even illumination. Professional children's photography, 4:3 aspect ratio, action shot captured mid-jump."
08,cute-props,可爱道具,cute-props.jpg,"Please generate on this blank canvas: A cute props photography portrait for baby milestone. Adorable 100-day-old Chinese baby (3 months, East Asian features) sitting in a large woven basket decorated with soft white tulle fabric and fresh pink flowers. Baby wearing a knitted bunny ear beanie and white romper. Surrounding props: fluffy teddy bears, wooden number ""100"" blocks with Chinese characters ""百日"", pastel balloons. Color palette: soft pink, cream white, light gray, natural wood tones. Whimsical charming atmosphere, overhead angle looking down. Clean white studio background, soft diffused lighting from above. Professional Chinese newborn photography style, 4:3 aspect ratio, centered composition with props framing the baby."
09,playful-fun,趣味玩乐,playful-fun.jpg,"Please generate on this blank canvas: A playful fun energetic portrait photography. Two Chinese children (ages 6-7, East Asian features, black hair) playing together, mid-action running or dancing, pure joy on faces, hair flying. Dynamic movement captured with slight motion blur on limbs but sharp faces. Bright colorful party environment with streamers and balloons in background. Vibrant color palette: electric blue, lime green, hot pink, sunny yellow. High energy spontaneous moment, genuine laughter. Clean studio or outdoor park setting, bright daylight. Fun dynamic diagonal composition showing action and movement. Professional children's action photography, 4:3 aspect ratio, capturing peak moment of joy."
10,warm-family,温馨家庭,warm-family.jpg,"Please generate on this blank canvas: A warm family atmosphere portrait photography. Multi-generational Chinese family of four: Chinese parents (ages 30-35, East Asian features), young child (age 3), and newborn baby, sitting together on a comfortable beige sofa in cozy modern Chinese living room. Gentle physical connections - holding hands, embracing. Warm golden hour light filtering through window creating soft glow. Color palette: warm terracotta, soft beige, cream white, golden honey tones. Cozy home environment with soft textures visible (knit blankets, cushions). Heartfelt loving emotions, genuine smiles. Natural candid interaction. Professional Chinese lifestyle family photography, 4:3 aspect ratio, horizontal composition showing connection and togetherness."
11,professional,专业商务,professional.jpg,"Please generate on this blank canvas: A professional business portrait photography in corporate executive style. Confident Chinese female executive (age 38-42, East Asian features, elegant black hair) in sharp charcoal gray business suit and white blouse, standing with arms crossed in modern glass office. Polished professional appearance, subtle confident smile. Corporate color palette: charcoal gray, crisp white, navy blue accents, silver metallic. Blurred modern Chinese city skyline background visible through glass windows. Professional three-point studio lighting creating dimensional shadows. Executive presence, leadership confidence. Clean sharp focus on subject. High-end corporate photography quality, 4:3 aspect ratio, waist-up vertical composition, power pose."
